t,current,position,velocity,time
0,143,1863,7255,-0.013
0.05,111,1565,7655,-0.0668
0.1,161,1088,8254,-0.122
0.15,137,575,8854,-0.1768
0.2,155,212,9453,-0.2313
0.25,193,-361,9853,-0.2856
0.3,175,-970,10452,-0.3396
0.35,178,-1615,11052,-0.3938
0.4,187,-2065,11451,-0.4483
0.45,184,-2770,12051,-0.5032
0.5,217,-3511,12650,-0.5586
0.55,202,-4288,13249,-0.6142
0.6,202,-4499,199,-0.6684
0.65,17,-4469,799,-0.7233
0.7,8,-4403,1398,-0.7777
0.75,32,-4339,1998,-0.832
0.8,52,-4213,2397,-0.8868
0.85,41,-4051,2997,-0.9425
0.9,46,-3853,3596,-0.9965
0.95,70,-3701,4195,-1.0516
1.0,85,-3444,4595,-1.1073
1.05,73,-3150,5194,-1.1617
1.1,85,-2820,5794,-1.2158
1.15,93,-2580,6193,-1.2697
1.2,137,-2191,6793,-1.3228
1.25,146,-1765,7392,-1.3771
1.3,117,-1462,7992,-1.4317
1.35,149,-976,8391,-1.4864
1.4,158,-455,8991,-1.5421
1.45,164,103,9590,-1.5973
1.5,158,495,10189,-1.6511
1.55,193,1112,10589,-1.7056
1.6,187,1765,11188,-1.7596
1.65,222,2455,11788,-1.8136
1.7,184,2934,12187,-1.868
1.75,217,3683,12787,-1.9237
1.8,240,4469,13386,-1.9782
1.85,208,4492,399,-2.0325
1.9,17,4468,799,-2.0872
1.95,14,4402,1398,-2.1416
2.0,23,4300,1998,-2.1958
2.05,76,4212,2597,-2.2505
2.1,58,4050,2997,-2.3043
2.15,46,3852,3596,-2.3585
2.2,46,3618,4195,-2.4127
2.25,76,3443,4595,-2.467
2.3,102,3149,5194,-2.5216
2.35,93,2819,5794,-2.5755
2.4,123,2579,6393,-2.6304
2.45,137,2190,6793,-2.6851
2.5,123,1764,7392,-2.7395
2.55,129,1303,7992,-2.7951
2.6,152,975,8391,-2.8495
2.65,146,454,8991,-2.9033
2.7,161,-104,9590,-2.9576
2.75,173,-697,10189,-3.0127
2.8,167,-1113,10589,-3.0668
2.85,187,-1766,11188,-3.1215
2.9,217,-2456,11788,-3.1755
2.95,193,-2935,12187,-3.2296
3.0,214,-3684,12787,-3.2839
3.05,205,-4470,13386,-3.3388
3.1,228,-4493,399,-3.3935
3.15,41,-4469,799,-3.4479
3.2,11,-4403,1398,-3.5018
3.25,17,-4301,1998,-3.5561
3.3,61,-4213,2597,-3.6106
3.35,49,-4051,2997,-3.6651
3.4,49,-3853,3596,-3.719
3.45,64,-3619,4195,-3.7732
3.5,102,-3444,4595,-3.8286
3.55,99,-3150,5194,-3.8832
3.6,108,-2820,5794,-3.9387
3.65,105,-2455,6393,-3.9926
3.7,120,-2191,6793,-4.0469
3.75,140,-1765,7392,-4.1017
3.8,161,-1304,7992,-4.1567
3.85,131,-976,8591,-4.2105
3.9,175,-455,8991,-4.266
3.95,190,103,9590,-4.3198
4.0,193,696,10189,-4.3749
4.05,219,1112,10589,-4.4298
4.1,217,1765,11188,-4.4853
4.15,237,2455,11788,-4.5395
4.2,222,3180,12387,-4.5937
4.25,231,3683,12787,-4.6476
4.3,263,4469,13386,-4.7024
4.35,255,4492,399,-4.7567
4.4,108,4450,999,-4.8123
4.45,14,4402,1398,-4.8676
4.5,58,4300,1998,-4.9219
4.55,87,4162,2597,-4.9765
4.6,52,4050,3196,-5.0316
4.65,52,3852,3596,-5.087
4.7,82,3618,4195,-5.1417
4.75,105,3349,4795,-5.1964
4.8,111,3149,5394,-5.251
4.85,117,2819,5794,-5.3054
4.9,146,2454,6393,-5.3596
4.95,140,2052,6993,-5.4136
5.0,161,1764,7392,-5.4688
5.05,181,1303,7992,-5.5235
5.1,167,805,8591,-5.5781
5.15,170,272,9190,-5.6327
5.2,199,-104,9590,-5.6883
5.25,202,-697,10189,-5.7429
5.3,205,-1327,10789,-5.7983
5.35,196,-1992,11388,-5.8521
5.4,293,-2456,11788,-5.9069
5.45,299,-3181,12387,-5.9619
5.5,316,-3942,12987,-6.0175
5.55,302,-4470,0,-6.0714
5.6,211,-4493,399,-6.1256
5.65,26,-4451,999,-6.1804
5.7,17,-4373,1598,-6.2342
5.75,35,-4301,1998,-6.2892
5.8,64,-4163,2597,-6.3434
5.85,49,-3989,3196,-6.3978
5.9,49,-3779,3796,-6.4532
5.95,29,-3619,4195,-6.5076
6.0,85,-3350,4795,-6.5627
6.05,85,-3044,5394,-6.6178
6.1,99,-2820,5994,-6.6716
6.15,79,-2455,6393,-6.7264
6.2,117,-2053,6993,-6.7807
6.25,134,-1615,7592,-6.836
6.3,105,-1304,7992,-6.8904
6.35,126,-806,8591,-6.9445
6.4,105,-273,9190,-7.0008
6.45,175,297,9790,-7.0552
6.5,190,696,10189,-7.1088
6.55,184,1326,10789,-7.1636
6.6,234,1991,11388,-7.2185
6.65,193,2692,11988,-7.2724
6.7,214,3180,12387,-7.3272
6.75,214,3941,12987,-7.382
6.8,225,4500,0,-7.4373
6.85,167,4482,599,-7.492
6.9,17,4450,999,-7.5471
6.95,14,4372,1598,-7.6024
7.0,41,4258,2197,-7.658
7.05,70,4108,2797,-7.7123
7.1,61,3988,3196,-7.7664
7.15,52,3778,3796,-7.8209
7.2,87,3532,4395,-7.8751
7.25,102,3349,4995,-7.9308
7.3,108,3043,5394,-7.9847
7.35,96,2701,5994,-8.0399
7.4,117,2324,6593,-8.0945
7.45,120,2052,6993,-8.1492
7.5,146,1614,7592,-8.2033
7.55,137,1141,8191,-8.2568
7.6,134,805,8791,-8.3105
7.65,161,272,9190,-8.3647
7.7,175,-298,9790,-8.4202
7.75,205,-903,10389,-8.4759
7.8,187,-1327,10989,-8.5306
7.85,214,-1992,11388,-8.5854
7.9,249,-2693,11988,-8.6402
7.95,228,-3431,12587,-8.6949
8.0,243,-3942,12987,-8.7499
8.05,214,-4500,0,-8.8066
8.1,199,-4483,599,-8.8606
8.15,29,-4429,1198,-8.9148
8.2,23,-4373,1598,-8.969
8.25,90,-4259,2197,-9.0233
8.3,35,-4109,2797,-9.077
8.35,61,-3989,3396,-9.131
8.4,73,-3779,3796,-9.1862
8.45,96,-3533,4395,-9.2416
8.5,102,-3252,4995,-9.297
8.55,140,-3044,5594,-9.3523
8.6,105,-2702,5994,-9.4067
8.65,140,-2325,6593,-9.4621
8.7,173,-1911,7192,-9.5168
8.75,170,-1615,7792,-9.5712
8.8,208,-1142,8191,-9.6254
8.85,202,-632,8791,-9.6798
8.9,205,-87,9390,-9.7343
8.95,234,297,9790,-9.7903
9.0,219,902,10389,-9.8442
9.05,260,1543,10989,-9.8988
9.1,246,2221,11588,-9.9542
9.15,222,2692,11988,-10.0085
9.2,237,3430,12587,-10.0632
9.25,243,4203,13186,-10.1171
9.3,260,4500,199,-10.1714
9.35,52,4482,599,-10.2261
9.4,26,4428,1198,-10.2817
9.45,23,4338,1798,-10.3359
9.5,67,4258,2197,-10.3901
9.55,67,4108,2797,-10.4439
9.6,58,3922,3396,-10.4978
9.65,58,3700,3996,-10.5536
9.7,85,3532,4395,-10.6077
9.75,105,3251,4995,-10.6621
9.8,108,2933,5594,-10.7166
9.85,126,2701,6193,-10.7715
9.9,140,2324,6593,-10.8254
9.95,155,1910,7192,-10.88
10.0,175,1461,7792,-10.9346
10.05,161,1141,8191,-10.9887
10.1,199,631,8791,-11.0436
10.15,205,86,9390,-11.0977
10.2,214,-495,9990,-11.1523
10.25,202,-903,10389,-11.2076
10.3,193,-1544,10989,-11.2619
10.35,196,-2222,11588,-11.317
10.4,225,-2693,12187,-11.3724
10.45,193,-3431,12587,-11.4263
10.5,196,-4204,13186,-11.4806
10.55,219,-4499,199,-11.5352
10.6,82,-4483,599,-11.5896
10.65,11,-4429,1198,-11.6446
10.7,23,-4339,1798,-11.6985
10.75,58,-4213,2397,-11.7523
10.8,52,-4109,2797,-11.8072
10.85,49,-3923,3396,-11.8604
10.9,61,-3701,3996,-11.9152
10.95,38,-3533,4395,-11.9693
11.0,99,-3252,4995,-12.0232
11.05,76,-2934,5594,-12.0774
11.1,111,-2580,6193,-12.1323
11.15,105,-2325,6593,-12.1862
11.2,129,-1911,7192,-12.241
11.25,131,-1462,7792,-12.2949
11.3,137,-1142,8191,-12.3489
11.35,155,-632,8791,-12.4036
11.4,155,-87,9390,-12.4574
11.45,175,297,9990,-12.5123
11.5,167,902,10389,-12.5681
11.55,196,1543,10989,-12.622
11.6,205,2221,11588,-12.6768
11.65,184,2692,12187,-12.7317
11.7,199,3430,12587,-12.7856
11.75,228,4203,13186,-12.8394
11.8,243,4498,199,-12.8933
11.85,131,4482,599,-12.9471
11.9,17,4428,1198,-13.0018
11.95,20,4338,1798,-13.0572
12.0,64,4258,2397,-13.1111
12.05,73,4108,2797,-13.1649
12.1,64,3922,3396,-13.2191
12.15,55,3700,3996,-13.2737
12.2,99,3532,4395,-13.3286
12.25,126,3251,4995,-13.3828
12.3,117,2933,5594,-13.4368
12.35,120,2701,5994,-13.491
12.4,140,2324,6593,-13.5457
12.45,143,1910,7192,-13.5995
12.5,155,1461,7792,-13.6553
12.55,164,1141,8191,-13.7102
12.6,187,631,8791,-13.7644
12.65,181,86,9390,-13.8187
12.7,196,-495,9990,-13.8728
12.75,193,-903,10389,-13.927
12.8,193,-1544,10989,-13.9812
12.85,202,-2222,11588,-14.0363
12.9,234,-2693,12187,-14.0924
12.95,214,-3431,12587,-14.1475
13.0,240,-4204,13186,-14.2024
13.05,205,-4499,199,-14.2571
13.1,193,-4483,799,-14.3116
13.15,8,-4429,1198,-14.3654
13.2,17,-4339,1798,-14.4203
13.25,55,-4213,2397,-14.4741
13.3,46,-4109,2797,-14.5281
13.35,61,-3923,3396,-14.5819
13.4,41,-3701,3996,-14.637
13.45,82,-3533,4595,-14.6914
13.5,73,-3252,4995,-14.7459
13.55,85,-2934,5594,-14.8008
13.6,102,-2580,6193,-14.8565
13.65,105,-2325,6793,-14.9126
13.7,129,-1911,7192,-14.9672
13.75,140,-1462,7792,-15.0221
13.8,146,-976,8391,-15.0759
13.85,161,-632,8791,-15.1308
13.9,152,-87,9390,-15.1856
13.95,164,495,9990,-15.2401
14.0,181,1112,10589,-15.2941
14.05,175,1543,10989,-15.3483
14.1,187,2221,11588,-15.4024
14.15,211,2934,12187,-15.4562
14.2,202,3430,12587,-15.5108
14.25,202,4203,13186,-15.5665
14.3,222,4498,199,-15.6205
14.35,26,4468,799,-15.675
14.4,11,4428,1198,-15.7295
14.45,35,4338,1798,-15.7837
14.5,87,4212,2397,-15.8382
14.55,38,4108,2997,-15.8926
14.6,55,3922,3396,-15.9484
14.65,58,3700,3996,-16.0029
14.7,87,3443,4595,-16.0574
14.75,90,3149,5194,-16.1123
14.8,96,2933,5594,-16.1664
14.85,123,2579,6193,-16.2204
14.9,123,2190,6793,-16.2761
14.95,131,1910,7192,-16.3303
15.0,155,1461,7792,-16.3854
15.05,164,975,8391,-16.4393
15.1,152,454,8991,-16.4933
15.15,164,86,9390,-16.5483
15.2,167,-495,9990,-16.6017
15.25,173,-1113,10589,-16.6572
15.3,196,-1544,11188,-16.7124
15.35,181,-2222,11588,-16.7668
15.4,199,-2935,12187,-16.8229
15.45,205,-3684,12787,-16.8772
15.5,208,-4204,13386,-16.932
15.55,205,-4499,199,-16.9862
15.6,23,-4469,799,-17.0401
15.65,8,-4403,1398,-17.0968
15.7,20,-4339,1998,-17.1513
15.75,70,-4213,2397,-17.2059
15.8,55,-4051,2997,-17.2598
15.85,52,-3853,3596,-17.3156
